Designator,Mid X,Mid Y,Rotation,Layer
_10,-178.209149,-117.17682,0.0,top
_9,-177.437549,-117.174751,0.0,top
_8,-179.860149,-117.17682,0.0,top
_7,-183.637549,-117.144751,0.0,top
_6,-184.437549,-117.174751,0.0,top
_5,-156.637549,-80.89842,0.0,top
_4,-185.187549,-117.19842,0.0,top
_3,-183.037549,-117.174751,0.0,top
_2,-179.037549,-117.144751,0.0,top
,-176.456549,-117.15142,0.0,top
C1,-190.119456,-181.079751,90.0,top
C10,-188.069456,-204.804751,-90.0,top
C11,-185.519456,-181.179751,90.0,top
C12,-183.769456,-181.179751,90.0,top
C2,-186.319456,-204.804751,-90.0,top
C3,-201.444456,-188.329751,180.0,top
C4,-178.869456,-187.679751,0.0,top
C43,-194.119456,-208.154751,90.0,top
C44,-181.999456,-151.889751,180.0,top
C45,-182.099456,-161.639751,0.0,top
C46,-188.069456,-208.154751,-90.0,top
C5,-200.519456,-171.929751,90.0,top
C6,-178.869456,-189.479751,0.0,top
C7,-188.469456,-181.079751,90.0,top
C8,-201.494456,-194.429751,180.0,top
C9,-178.969456,-194.929751,0.0,top
D1,102.512451,-130.04842,90.0,top
D10,-74.987549,-128.29842,90.0,top
D11,-99.237549,-129.79842,90.0,top
D12,-120.487549,-132.29842,90.0,top
D13,-139.987549,-132.04842,90.0,top
D14,-160.987549,-128.562251,90.0,top
D15,-187.237549,-128.54842,0.0,top
D16,-203.987549,-128.54842,90.0,top
D17,-224.987549,-128.54842,0.0,top
D18,99.762451,-137.79842,0.0,top
D19,86.262451,-152.04842,90.0,top
D2,65.512451,-132.29842,90.0,top
D20,68.512451,-152.04842,90.0,top
D21,49.012451,-152.04842,90.0,top
D22,29.512451,-152.29842,90.0,top
D23,11.512451,-152.04842,90.0,top
D24,-7.987549,-152.29842,90.0,top
D25,-26.237549,-152.29842,90.0,top
D26,-44.487549,-152.29842,90.0,top
D27,-64.237549,-152.04842,90.0,top
D28,-82.487549,-151.79842,90.0,top
D29,-102.237549,-152.04842,90.0,top
D3,48.762451,-133.04842,180.0,top
D30,-121.237549,-152.04842,90.0,top
D31,-155.737549,-158.29842,180.0,top
D32,-176.237549,-143.54842,0.0,top
D33,-189.444456,-152.374751,90.0,top
D34,-206.094456,-152.324751,90.0,top
D35,-223.737549,-152.29842,90.0,top
D36,101.262451,-171.29842,90.0,top
D37,77.012451,-171.424751,90.0,top
D38,58.262451,-171.54842,90.0,top
D39,39.512451,-171.54842,90.0,top
D4,33.012451,-133.29842,180.0,top
D40,20.512451,-171.29842,90.0,top
D41,1.512451,-171.54842,90.0,top
D42,-17.237549,-171.29842,90.0,top
D43,-36.237549,-171.29842,90.0,top
D44,-54.987549,-171.54842,90.0,top
D45,-73.487549,-171.424751,90.0,top
D46,-92.737549,-171.424751,90.0,top
D47,-111.987549,-171.54842,90.0,top
D48,-130.487549,-171.04842,90.0,top
D49,-177.237549,-170.54842,90.0,top
D5,26.512451,-132.04842,90.0,top
D50,-191.987549,-171.79842,0.0,top
D51,-206.987549,-172.29842,90.0,top
D52,-223.737549,-171.424751,90.0,top
D53,101.861794,-192.856001,90.0,top
D54,75.262451,-190.474751,90.0,top
D55,55.762451,-190.04842,90.0,top
D56,37.012451,-189.79842,90.0,top
D57,17.262451,-190.04842,90.0,top
D58,-1.237549,-189.79842,90.0,top
D59,-20.487549,-190.04842,90.0,top
D6,5.818044,-130.54842,90.0,top
D60,-39.737549,-189.79842,90.0,top
D61,-58.987549,-189.79842,90.0,top
D62,-77.987549,-189.79842,90.0,top
D63,-97.237549,-190.04842,90.0,top
D64,-116.987549,-190.04842,90.0,top
